Datum;Rechnung;Artikel;Preis;inkl.;MwSt;USt;Porto;Gesamt;calc
2022-07-26;0000035;0113322;50,00 ¤;Ja;7%;3,27 ¤;0,00 ¤;50,00 ¤;50,00
2022-07-26;0000027;0108681;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-26;0000022;0110347;10,00 ¤;Ja;7%;0,65 ¤;0,00 ¤;10,00 ¤;10,00
2022-07-26;0000038;0069710;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000034;0007430;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000023;0068190;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000040;0109122;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000037;0094047;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000042;0106973;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000020;0114970;20,00 ¤;Ja;7%;1,31 ¤;0,00 ¤;20,00 ¤;20,00
2022-07-26;0000036;0092970;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000028;0115286;22,00 ¤;Ja;7%;1,44 ¤;0,00 ¤;22,00 ¤;22,00
2022-07-26;0000033;0101580;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000030;0048389;19,00 ¤;Ja;7%;1,24 ¤;0,00 ¤;19,00 ¤;19,00
2022-07-26;0000026;0111841;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-26;0000024;0110685;21,00 ¤;Ja;7%;1,37 ¤;0,00 ¤;21,00 ¤;21,00
2022-07-26;0000029;0107400;13,00 ¤;Ja;7%;0,85 ¤;0,00 ¤;13,00 ¤;13,00
2022-07-26;0000025;0108289;13,00 ¤;Ja;7%;0,85 ¤;0,00 ¤;13,00 ¤;13,00
2022-07-26;0000032;0102553;17,00 ¤;Ja;7%;1,11 ¤;0,00 ¤;17,00 ¤;17,00
2022-07-26;0000017;0115270;23,00 ¤;Ja;7%;1,50 ¤;0,00 ¤;23,00 ¤;23,00
2022-07-26;0000043;0007109;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
2022-07-26;0000039;0008892;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-26;0000018;0109742;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000013;0111140;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000019;0108526;18,00 ¤;Ja;7%;1,18 ¤;0,00 ¤;18,00 ¤;18,00
2022-07-26;0000021;0111746;10,00 ¤;Ja;7%;0,65 ¤;0,00 ¤;10,00 ¤;10,00
2022-07-26;0000031;0075379;19,00 ¤;Nein;0%;0,00 ¤;13,90 ¤;32,90 ¤;32,00
2022-07-26;0000016;0115531;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000011;0108684;33,00 ¤;Ja;7%;2,16 ¤;0,00 ¤;33,00 ¤;33,00
2022-07-26;0000011;0113403;10,00 ¤;Ja;7%;0,65 ¤;0,00 ¤;10,00 ¤;10,00
2022-07-26;0000012;0115531;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000014;0068394;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-26;0000015;0109742;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-27;0000044;0114910;25,00 ¤;Ja;7%;1,64 ¤;0,00 ¤;25,00 ¤;25,00
2022-07-28;0000045;0106252;15,00 ¤;Ja;7%;0,98 ¤;0,00 ¤;15,00 ¤;15,00
2022-07-28;0000046;0115017;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
2022-07-28;0000047;0094175;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
2022-07-29;0000048;0072508;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-29;0000049;0083349;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
2022-07-29;0000050;0115063;12,00 ¤;Ja;7%;0,79 ¤;0,00 ¤;12,00 ¤;12,00
2022-07-30;0000051;0007671;11,00 ¤;Ja;7%;0,72 ¤;0,00 ¤;11,00 ¤;11,00
2022-07-30;0000052;0101866;9,00 ¤;Ja;7%;0,59 ¤;0,00 ¤;9,00 ¤;9,00
